Date,state_name,state_code,district_name,district_code,confirmed_district,recovered_district,deceased_district,total_confirmed_district,total_recovered_district,total_deceased_district,confirmed_state,recovered_state,deceased_state,total_confirmed_state,total_recovered_state,total_deceased_state,confirmed_india,recovered_india,deceased_india,total_confirmed_india,total_recovered_india,total_deceased_india
17-12-2020,Andaman and Nicobar Islands,,Unknown,,4860,4707,61,4860,4707,61,4860,4707,61,4860,4707,61,26754,30891,342,9977834,9520044,144829
17-12-2020,Andhra Pradesh,28.0,Anantapur,502.0,67079,66335,595,67079,66335,595,877348,865825,7069,877348,865825,7069,26754,30891,342,9977834,9520044,144829
17-12-2020,Andhra Pradesh,28.0,Chittoor,503.0,85196,83855,836,85196,83855,836,877348,865825,7069,877348,865825,7069,26754,30891,342,9977834,9520044,144829
17-12-2020,Andhra Pradesh,28.0,East Godavari,505.0,123166,122088,636,123166,122088,636,877348,865825,7069,877348,865825,7069,26754,30891,342,9977834,9520044,144829
17-12-2020,Andhra Pradesh,28.0,Guntur,506.0,74125,72768,658,74125,72768,658,877348,865825,7069,877348,865825,7069,26754,30891,342,9977834,9520044,144829
17-12-2020,Andhra Pradesh,28.0,Krishna,510.0,46934,45440,656,46934,45440,656,877348,865825,7069,877348,865825,7069,26754,30891,342,9977834,9520044,144829
17-12-2020,Andhra Pradesh,28.0,Kurnool,511.0,60444,59815,487,60444,59815,487,877348,865825,7069,877348,865825,7069,26754,30891,342,9977834,9520044,144829
17-12-2020,Andhra Pradesh,28.0,Prakasam,517.0,61861,61052,578,61861,61052,578,877348,865825,7069,877348,865825,7069,26754,30891,342,9977834,9520044,144829
17-12-2020,Andhra Pradesh,28.0,S.P.S. Nellore,515.0,61869,60794,504,61869,60794,504,877348,865825,7069,877348,865825,7069,26754,30891,342,9977834,9520044,144829
17-12-2020,Andhra Pradesh,28.0,Srikakulam,519.0,45796,45260,346,45796,45260,346,877348,865825,7069,877348,865825,7069,26754,30891,342,9977834,9520044,144829
17-12-2020,Andhra Pradesh,28.0,Visakhapatnam,520.0,58750,57989,549,58750,57989,549,877348,865825,7069,877348,865825,7069,26754,30891,342,9977834,9520044,144829
17-12-2020,Andhra Pradesh,28.0,Vizianagaram,521.0,40926,40615,238,40926,40615,238,877348,865825,7069,877348,865825,7069,26754,30891,342,9977834,9520044,144829
17-12-2020,Andhra Pradesh,28.0,West Godavari,523.0,93574,92752,531,93574,92752,531,877348,865825,7069,877348,865825,7069,26754,30891,342,9977834,9520044,144829
17-12-2020,Andhra Pradesh,28.0,Y.S.R. Kadapa,504.0,54733,54167,455,54733,54167,455,877348,865825,7069,877348,865825,7069,26754,30891,342,9977834,9520044,144829
17-12-2020,Arunachal Pradesh,12.0,Anjaw,628.0,204,194,0,204,194,0,16603,16290,55,16603,16290,55,26754,30891,342,9977834,9520044,144829
17-12-2020,Arunachal Pradesh,12.0,Changlang,229.0,1270,1238,4,1270,1238,4,16603,16290,55,16603,16290,55,26754,30891,342,9977834,9520044,144829
17-12-2020,Arunachal Pradesh,12.0,East Kameng,231.0,304,303,0,304,303,0,16603,16290,55,16603,16290,55,26754,30891,342,9977834,9520044,144829
17-12-2020,Arunachal Pradesh,12.0,East Siang,232.0,1112,1080,4,1112,1080,4,16603,16290,55,16603,16290,55,26754,30891,342,9977834,9520044,144829
17-12-2020,Arunachal Pradesh,12.0,Kamle,718.0,29,29,0,29,29,0,16603,16290,55,16603,16290,55,26754,30891,342,9977834,9520044,144829
17-12-2020,Arunachal Pradesh,12.0,Kra Daadi,677.0,37,37,0,37,37,0,16603,16290,55,16603,16290,55,26754,30891,342,9977834,9520044,144829
17-12-2020,Arunachal Pradesh,12.0,Kurung Kumey,233.0,117,117,0,117,117,0,16603,16290,55,16603,16290,55,26754,30891,342,9977834,9520044,144829
17-12-2020,Arunachal Pradesh,12.0,Lepa Rada,724.0,276,273,0,276,273,0,16603,16290,55,16603,16290,55,26754,30891,342,9977834,9520044,144829
17-12-2020,Arunachal Pradesh,12.0,Lohit,234.0,567,562,0,567,562,0,16603,16290,55,16603,16290,55,26754,30891,342,9977834,9520044,144829
17-12-2020,Arunachal Pradesh,12.0,Longding,666.0,248,246,0,248,246,0,16603,16290,55,16603,16290,55,26754,30891,342,9977834,9520044,144829
17-12-2020,Arunachal Pradesh,12.0,Lower Dibang Valley,235.0,468,461,0,468,461,0,16603,16290,55,16603,16290,55,26754,30891,342,9977834,9520044,144829
17-12-2020,Arunachal Pradesh,12.0,Lower Siang,719.0,285,282,0,285,282,0,16603,16290,55,16603,16290,55,26754,30891,342,9977834,9520044,144829
17-12-2020,Arunachal Pradesh,12.0,Lower Subansiri,236.0,381,380,1,381,380,1,16603,16290,55,16603,16290,55,26754,30891,342,9977834,9520044,144829
17-12-2020,Arunachal Pradesh,12.0,Namsai,678.0,425,417,4,425,417,4,16603,16290,55,16603,16290,55,26754,30891,342,9977834,9520044,144829
17-12-2020,Arunachal Pradesh,12.0,Pakke Kessang,723.0,129,127,0,129,127,0,16603,16290,55,16603,16290,55,26754,30891,342,9977834,9520044,144829
17-12-2020,Arunachal Pradesh,12.0,Papum Pare,237.0,6732,6607,29,6732,6607,29,16603,16290,55,16603,16290,55,26754,30891,342,9977834,9520044,144829
17-12-2020,Arunachal Pradesh,12.0,Shi Yomi,725.0,104,100,0,104,100,0,16603,16290,55,16603,16290,55,26754,30891,342,9977834,9520044,144829
17-12-2020,Arunachal Pradesh,12.0,Siang,679.0,132,125,1,132,125,1,16603,16290,55,16603,16290,55,26754,30891,342,9977834,9520044,144829
17-12-2020,Arunachal Pradesh,12.0,Tawang,238.0,441,417,1,441,417,1,16603,16290,55,16603,16290,55,26754,30891,342,9977834,9520044,144829
