State_Name,District_Name,Date,District_lgd,District_code,State_lgd,State_code,Quantity_Sold_daily_district,Number_of_sale_Transactions_daily_district,Quantity_Sold_roll_district,Number_of_sale_Transactions_roll_district,Quantity_Sold_daily_state,Number_of_sale_Transactions_daily_state,Quantity_Sold_roll_state,Number_of_sale_Transactions_roll_state,Quantity_Sold_daily_india,Number_of_sale_Transactions_daily_india,Quantity_Sold_roll_india,Number_of_sale_Transactions_roll_india
Andaman and Nicobar Islands,Nicobars,30-12-2020,,,,,0.0,0.0,,,0.9450000000000001,9.0,1.4142857142857141,16.857142857142858,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Andaman and Nicobar Islands,North And Middle Andaman,30-12-2020,,,,,0.0,0.0,,,0.9450000000000001,9.0,1.4142857142857141,16.857142857142858,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Andaman and Nicobar Islands,South Andamans,30-12-2020,,,,,0.9450000000000001,9.0,,,0.9450000000000001,9.0,1.4142857142857141,16.857142857142858,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Andhra Pradesh,Anantapur,30-12-2020,ANANTAPUR,502.0,ANDHRA PRADESH,28.0,489.14500000000004,1154.0,,,10580.453000000003,24967.0,8824.176428571427,19155.0,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Andhra Pradesh,Chittoor,30-12-2020,CHITTOOR,503.0,ANDHRA PRADESH,28.0,460.57000000000005,1836.0,,,10580.453000000003,24967.0,8824.176428571427,19155.0,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Andhra Pradesh,East Godavari,30-12-2020,EAST GODAVARI,505.0,ANDHRA PRADESH,28.0,838.6810000000007,3097.0,,,10580.453000000003,24967.0,8824.176428571427,19155.0,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Andhra Pradesh,Guntur,30-12-2020,GUNTUR,506.0,ANDHRA PRADESH,28.0,2065.8450000000007,2928.0,,,10580.453000000003,24967.0,8824.176428571427,19155.0,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Andhra Pradesh,Krishna,30-12-2020,KRISHNA,510.0,ANDHRA PRADESH,28.0,509.03999999999996,1061.0,,,10580.453000000003,24967.0,8824.176428571427,19155.0,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Andhra Pradesh,Kurnool,30-12-2020,KURNOOL,511.0,ANDHRA PRADESH,28.0,919.0350000000004,1742.0,,,10580.453000000003,24967.0,8824.176428571427,19155.0,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Andhra Pradesh,Prakasam,30-12-2020,PRAKASAM,517.0,ANDHRA PRADESH,28.0,1122.4750000000006,2487.0,,,10580.453000000003,24967.0,8824.176428571427,19155.0,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Andhra Pradesh,Spsr Nellore,30-12-2020,SPSR NELLORE,515.0,ANDHRA PRADESH,28.0,1686.8700000000006,4060.0,,,10580.453000000003,24967.0,8824.176428571427,19155.0,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Andhra Pradesh,Srikakulam,30-12-2020,SRIKAKULAM,519.0,ANDHRA PRADESH,28.0,202.75499999999997,689.0,,,10580.453000000003,24967.0,8824.176428571427,19155.0,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Andhra Pradesh,Visakhapatanam,30-12-2020,,,,,52.50000000000002,371.0,,,10580.453000000003,24967.0,8824.176428571427,19155.0,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Andhra Pradesh,Vizianagaram,30-12-2020,VIZIANAGARAM,521.0,ANDHRA PRADESH,28.0,147.51500000000001,788.0,,,10580.453000000003,24967.0,8824.176428571427,19155.0,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Andhra Pradesh,West Godavari,30-12-2020,WEST GODAVARI,523.0,ANDHRA PRADESH,28.0,1446.2100000000007,3266.0,,,10580.453000000003,24967.0,8824.176428571427,19155.0,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Andhra Pradesh,Y.S.R.,30-12-2020,Y.S.R.,504.0,ANDHRA PRADESH,28.0,639.8120000000002,1488.0,,,10580.453000000003,24967.0,8824.176428571427,19155.0,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Baksa,30-12-2020,BAKSA,616.0,ASSAM,18.0,0.815,2.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Barpeta,30-12-2020,BARPETA,280.0,ASSAM,18.0,140.24500000000003,414.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Bongaigaon,30-12-2020,BONGAIGAON,281.0,ASSAM,18.0,37.075,183.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Cachar,30-12-2020,CACHAR,282.0,ASSAM,18.0,2.125,6.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Chirang,30-12-2020,CHIRANG,612.0,ASSAM,18.0,20.31,127.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Darrang,30-12-2020,DARRANG,283.0,ASSAM,18.0,123.845,331.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Dhemaji,30-12-2020,DHEMAJI,284.0,ASSAM,18.0,0.0,0.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Dhubri,30-12-2020,DHUBRI,285.0,ASSAM,18.0,140.37,823.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Dibrugarh,30-12-2020,DIBRUGARH,286.0,ASSAM,18.0,7.27,11.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Goalpara,30-12-2020,GOALPARA,287.0,ASSAM,18.0,63.79,248.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Golaghat,30-12-2020,GOLAGHAT,288.0,ASSAM,18.0,16.375,35.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Hailakandi,30-12-2020,HAILAKANDI,289.0,ASSAM,18.0,1.62,14.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Jorhat,30-12-2020,JORHAT,290.0,ASSAM,18.0,39.599999999999994,44.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Kamrup,30-12-2020,KAMRUP,291.0,ASSAM,18.0,71.14,227.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Kamrup Metro,30-12-2020,KAMRUP METRO,618.0,ASSAM,18.0,44.0,3.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Karbi Anglong,30-12-2020,KARBI ANGLONG,292.0,ASSAM,18.0,0.0,0.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Karimganj,30-12-2020,KARIMGANJ,293.0,ASSAM,18.0,0.0,0.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Kokrajhar,30-12-2020,KOKRAJHAR,294.0,ASSAM,18.0,0.0,0.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Lakhimpur,30-12-2020,LAKHIMPUR,295.0,ASSAM,18.0,27.92,97.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Marigaon,30-12-2020,MARIGAON,296.0,ASSAM,18.0,39.06,151.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Nagaon,30-12-2020,NAGAON,297.0,ASSAM,18.0,125.91500000000002,645.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Nalbari,30-12-2020,NALBARI,298.0,ASSAM,18.0,0.0,0.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Sivasagar,30-12-2020,SIVASAGAR,300.0,ASSAM,18.0,0.0,0.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Sonitpur,30-12-2020,SONITPUR,301.0,ASSAM,18.0,37.965,107.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Tinsukia,30-12-2020,TINSUKIA,302.0,ASSAM,18.0,172.4,161.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Assam,Udalguri,30-12-2020,UDALGURI,617.0,ASSAM,18.0,0.0,0.0,,,1111.84,3629.0,1327.9767142857143,4635.571428571428,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Bihar,Araria,30-12-2020,ARARIA,188.0,BIHAR,10.0,909.9250000000003,3826.0,,,20702.087,97906.0,18550.552714285706,78226.85714285714,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Bihar,Arwal,30-12-2020,ARWAL,611.0,BIHAR,10.0,88.85,553.0,,,20702.087,97906.0,18550.552714285706,78226.85714285714,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Bihar,Aurangabad,30-12-2020,AURANGABAD,189.0,BIHAR,10.0,449.75000000000017,1974.0,,,20702.087,97906.0,18550.552714285706,78226.85714285714,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Bihar,Banka,30-12-2020,BANKA,190.0,BIHAR,10.0,274.3899999999999,1955.0,,,20702.087,97906.0,18550.552714285706,78226.85714285714,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Bihar,Begusarai,30-12-2020,BEGUSARAI,191.0,BIHAR,10.0,477.445,2259.0,,,20702.087,97906.0,18550.552714285706,78226.85714285714,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Bihar,Bhagalpur,30-12-2020,BHAGALPUR,192.0,BIHAR,10.0,543.555,2203.0,,,20702.087,97906.0,18550.552714285706,78226.85714285714,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Bihar,Bhojpur,30-12-2020,BHOJPUR,193.0,BIHAR,10.0,564.7300000000001,1826.0,,,20702.087,97906.0,18550.552714285706,78226.85714285714,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Bihar,Buxar,30-12-2020,BUXAR,194.0,BIHAR,10.0,885.9749999999998,3403.0,,,20702.087,97906.0,18550.552714285706,78226.85714285714,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Bihar,Darbhanga,30-12-2020,DARBHANGA,195.0,BIHAR,10.0,407.8400000000001,1561.0,,,20702.087,97906.0,18550.552714285706,78226.85714285714,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Bihar,Gaya,30-12-2020,GAYA,196.0,BIHAR,10.0,627.59,2626.0,,,20702.087,97906.0,18550.552714285706,78226.85714285714,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Bihar,Gopalganj,30-12-2020,GOPALGANJ,197.0,BIHAR,10.0,285.00500000000005,3034.0,,,20702.087,97906.0,18550.552714285706,78226.85714285714,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Bihar,Jamui,30-12-2020,JAMUI,198.0,BIHAR,10.0,276.3,1368.0,,,20702.087,97906.0,18550.552714285706,78226.85714285714,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Bihar,Jehanabad,30-12-2020,JEHANABAD,199.0,BIHAR,10.0,125.43999999999997,715.0,,,20702.087,97906.0,18550.552714285706,78226.85714285714,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Bihar,Kaimur (Bhabua),30-12-2020,KAIMUR (BHABUA),200.0,BIHAR,10.0,472.4299999999999,1429.0,,,20702.087,97906.0,18550.552714285706,78226.85714285714,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Bihar,Katihar,30-12-2020,KATIHAR,201.0,BIHAR,10.0,756.2450000000003,2138.0,,,20702.087,97906.0,18550.552714285706,78226.85714285714,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Bihar,Khagaria,30-12-2020,KHAGARIA,202.0,BIHAR,10.0,1070.8200000000008,2996.0,,,20702.087,97906.0,18550.552714285706,78226.85714285714,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
Bihar,Kishanganj,30-12-2020,KISHANGANJ,203.0,BIHAR,10.0,282.09499999999997,1331.0,,,20702.087,97906.0,18550.552714285706,78226.85714285714,212047.41899999994,688342.0,220259.67142857114,656428.7142857143
